"Town","FIPS","Year","Gender","Measure Type","Variable","Value"
"Avon","0900302060","2008-2012","Female","Number","Margins of Error",105
"Avon","0900302060","2008-2012","Female","Percent","Employed or Enrolled Youth",100
"Avon","0900302060","2008-2012","Female","Percent","Margins of Error",35.54
"Avon","0900302060","2008-2012","Male","Number","Employed or Enrolled Youth",578
"Avon","0900302060","2008-2012","Male","Number","Margins of Error",146
"Avon","0900302060","2008-2012","Male","Percent","Employed or Enrolled Youth",100
"Avon","0900302060","2008-2012","Male","Percent","Margins of Error",35.4
"Avon","0900302060","2009-2013","Total","Number","Employed or Enrolled Youth",839
"Avon","0900302060","2009-2013","Total","Number","Margins of Error",171
"Avon","0900302060","2009-2013","Total","Percent","Employed or Enrolled Youth",100
"Avon","0900302060","2009-2013","Total","Percent","Margins of Error",29.14
"Avon","0900302060","2009-2013","Female","Number","Employed or Enrolled Youth",372
"Avon","0900302060","2009-2013","Female","Number","Margins of Error",108
"Avon","0900302060","2009-2013","Female","Percent","Employed or Enrolled Youth",100
"Avon","0900302060","2009-2013","Female","Percent","Margins of Error",40.57
"Avon","0900302060","2009-2013","Male","Number","Employed or Enrolled Youth",467
"Avon","0900302060","2009-2013","Male","Number","Margins of Error",132
"Avon","0900302060","2009-2013","Male","Percent","Employed or Enrolled Youth",100
"Avon","0900302060","2009-2013","Male","Percent","Margins of Error",38.78
"Avon","0900302060","2010-2014","Total","Number","Employed or Enrolled Youth",826
"Avon","0900302060","2010-2014","Total","Number","Margins of Error",158
"Avon","0900302060","2010-2014","Total","Percent","Employed or Enrolled Youth",100
"Avon","0900302060","2010-2014","Total","Percent","Margins of Error",25.97
"Avon","0900302060","2010-2014","Female","Number","Employed or Enrolled Youth",394
"Avon","0900302060","2010-2014","Female","Number","Margins of Error",113
"Avon","0900302060","2010-2014","Female","Percent","Employed or Enrolled Youth",100
"Avon","0900302060","2010-2014","Female","Percent","Margins of Error",40.07
